FID,FeatId1,Route_Name,Route_Numb,Route_Dire,Bus_Orient,Bus_Stop_I,On_Street,At_Street,Location_O,Location_A,X,Y
0,1138,Lauzon 10,0, , ,0,Anchor,Jamieson Entrance, , ,-82.90900712,42.29651651
1,1137,Central 3,0, , ,0,Central,Temple, , ,-82.97167591,42.28690325
2,1136,Parent 14,0, , ,0,Marentette,South Service, , ,-83.00055865,42.27824015
3,1135,Parent 14,0, , ,0,South Service,Devon, , ,-82.99828038,42.2800622
4,1134,Parent 14,0, , ,0,South Service,Devon, , ,-82.99842716,42.27983327
5,1133,Parent 14,0, , ,0,Marentette,South Service, , ,-83.00026619,42.27812374
6,1132,Lauzon 10,0, , ,0,Wyandotte,Martinique, , ,-82.92421831,42.33365347
7,1131,Lauzon 10,0, , ,0,Wyandotte,Florence, , ,-82.91906352,42.33374466
8,1130,Lauzon 10,0, , ,0,Wyandotte,Clover, , ,-82.91599771,42.33378165
9,1129,Lauzon 10,0, , ,0,Wyandotte,Greenpark, , ,-82.90694158,42.33240532
10,1128,Lauzon 10,0, , ,0,Greenpark,Amalfi, , ,-82.90698509,42.33448236
11,1127,Lauzon 10,0, , ,0,Clover,Firgrove, , ,-82.9120792,42.3206204
12,1126,Lauzon 10,0, , ,0,WFCU Centre,Main Entrance, , ,-82.92808152,42.31977334
13,1125,Lauzon 10,0, , ,0,WFCU Centre,Main Entrance, , ,-82.92887647,42.31959984
14,1124,Lauzon 10,0, , ,0,Banwell,Wildwood, , ,-82.89933082,42.3065591
15,1123,Lauzon 10,0, , ,0,Anchor,CS Wind, , ,-82.91260744,42.29584465
16,1122,Lauzon 10,0, , ,0,Anchor,Green Shield, , ,-82.91727104,42.29500426
17,1121,Lauzon 10,0, , ,0,Anchor,Twin Oaks, , ,-82.91843104,42.29293567
18,1120,Lauzon 10,0, , ,0,Forest Glade,Meadowbrook, , ,-82.92503473,42.29890103
19,1119,Lauzon 10,0, , ,0,Lauzon,Forest Glade, , ,-82.92299746,42.2998788
20,1118,Lauzon 10,0, , ,0,Lauzon,Vince, , ,-82.92722103,42.30670359
21,1117,Walkerville 8,0, , ,0,North Talbot,Old West, , ,-82.97774062,42.24236562
22,1116,Transway 1C,0, , ,0,Tecumseh,Forest, , ,-83.00945309,42.29934574
23,1115,South Windsor 7,0, , ,0,St Clair,Front Entrance, , ,-83.01772951,42.24612438
24,1114,Dougall 6,0, , ,0,St Clair,Front Entrance, , ,-83.01786306,42.24608867
25,1113,Transway 1A,0, , ,0,Howard,Memorial, , ,-83.01347541,42.29141932
26,1112,Transway 1A,0, , ,0,Sydney,Division, , ,-83.00080397,42.2710438
27,1111,Walkerville 8,0, , ,0,Lincoln,Lens, , ,-83.00166111,42.29942147
28,1110,Walkerville 8,0, , ,0,Lincoln,Lens, , ,-83.00134538,42.29918156
29,1109,Walkerville 8,0, , ,0,Ypres,Chilver, , ,-82.99678527,42.29565359
30,1108,Walkerville 8,0, , ,0,Ypres,Chilver, , ,-82.99698199,42.29537853
31,1107,Lauzon 10,0, , ,0,McHugh,Florence, , ,-82.92177853,42.3193055
32,1106,Lauzon 10,0, , ,0,Little River,Banwell, , ,-82.90394171,42.32565438
33,1105,Ottawa 4,0, , ,0,Giles,Mercer, , ,-83.02513905,42.30773054
34,1104,Central 3,0, , ,0,Crawford,Wyandotte, , ,-83.04676525,42.31008557
35,1103,Walkerville 8,0, , ,0,Riverside,McDougall, , ,-83.03514506,42.32080645
36,1102,Dominion 5,0, , ,0,Riverside,Caron, , ,-83.04812306,42.31773191
37,1101,Crosstown 2,0, , ,0,Wyandotte,St Paul, , ,-82.94531042,42.33309683
38,1100,Transway 1C,0, , ,0,Victoria,University, , ,-83.04110202,42.31727281
